id;depart;type;speedFactor;duration;waitingTime;timeLoss;traveltime;walk_depart;departPos;arrival;arrivalPos;walk_duration;routeLength;walk_timeLoss;maxSpeed;walk_waitingTime
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.1;2433.00;DEFAULT_PEDTYPE;0.91;352.00;8.00;42.97;352.00;2433.00;0.10;2785.00;0.10;352.00;391.66;42.97;1.27;8.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.0;2509.00;DEFAULT_PEDTYPE;1.08;279.00;0.00;29.63;279.00;2509.00;112.00;2788.00;0.10;279.00;372.92;29.63;1.50;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.5;2474.00;DEFAULT_PEDTYPE;1.07;316.00;1.00;53.51;316.00;2474.00;0.10;2790.00;0.10;316.00;391.66;53.51;1.49;1.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.N_end.W_sidewalk__seg1__0.1;2482.00;DEFAULT_PEDTYPE;0.95;315.00;0.00;32.22;315.00;2482.00;0.10;2797.00;177.70;315.00;373.31;32.22;1.32;0.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.N_end.W_sidewalk__seg1__0.2;2487.00;DEFAULT_PEDTYPE;1.04;310.00;2.00;52.08;310.00;2487.00;0.10;2797.00;177.70;310.00;373.31;52.08;1.45;2.00
pf_PedEnd.Minor.400.N_end.E_sidewalk__PedEnd.Minor.460.N_end.W_sidewalk__seg1__0.0;2470.00;DEFAULT_PEDTYPE;1.02;331.00;0.00;34.00;331.00;2470.00;0.10;2801.00;177.70;331.00;419.38;34.00;1.41;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.3;2468.00;DEFAULT_PEDTYPE;0.89;338.00;0.00;35.90;338.00;2468.00;177.70;2806.00;0.10;338.00;373.31;35.90;1.24;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__seg1__0.2;2571.00;DEFAULT_PEDTYPE;1.21;246.00;0.00;24.71;246.00;2571.00;0.10;2817.00;177.70;246.00;373.31;24.71;1.69;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.4;2474.00;DEFAULT_PEDTYPE;0.94;346.00;2.00;45.62;346.00;2474.00;0.10;2820.00;0.10;346.00;391.66;45.62;1.30;2.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.4;2507.00;DEFAULT_PEDTYPE;0.95;313.00;0.00;30.82;313.00;2507.00;177.70;2820.00;0.10;313.00;373.31;30.82;1.32;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.3;2499.00;DEFAULT_PEDTYPE;0.93;323.00;0.00;32.90;323.00;2499.00;177.70;2822.00;0.10;323.00;373.31;32.90;1.29;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.3;2456.00;DEFAULT_PEDTYPE;0.85;373.00;1.00;39.71;373.00;2456.00;0.10;2829.00;0.10;373.00;391.66;39.71;1.18;1.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.5;2487.00;DEFAULT_PEDTYPE;0.86;345.00;0.00;34.34;345.00;2487.00;0.10;2832.00;112.00;345.00;372.92;34.34;1.20;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.2;2512.00;DEFAULT_PEDTYPE;0.93;320.00;0.00;32.71;320.00;2512.00;0.10;2832.00;112.00;320.00;372.92;32.71;1.30;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.S__seg1__0.0;2512.00;DEFAULT_PEDTYPE;1.09;320.00;25.00;55.28;320.00;2512.00;177.70;2832.00;112.00;320.00;401.06;55.28;1.51;25.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.6;2553.00;DEFAULT_PEDTYPE;1.07;281.00;0.00;29.14;281.00;2553.00;177.70;2834.00;0.10;281.00;373.31;29.14;1.48;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.460.S_end.W_sidewalk__seg1__0.0;2475.00;DEFAULT_PEDTYPE;1.04;364.00;0.00;36.06;364.00;2475.00;0.10;2839.00;0.10;364.00;475.16;36.06;1.45;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.1;2487.00;DEFAULT_PEDTYPE;0.84;354.00;0.00;36.02;354.00;2487.00;0.10;2841.00;112.00;354.00;372.92;36.02;1.17;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.5;2531.00;DEFAULT_PEDTYPE;0.96;313.00;0.00;33.81;313.00;2531.00;177.70;2844.00;0.10;313.00;373.31;33.81;1.34;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.6;2502.00;DEFAULT_PEDTYPE;0.87;346.00;1.00;35.70;346.00;2502.00;0.10;2848.00;112.00;346.00;372.92;35.70;1.20;1.00
pf_PedEnd.Minor.460.S_end.E_sidewalk__PedEnd.Minor.540.N_end.W_sidewalk__seg1__0.0;2449.00;DEFAULT_PEDTYPE;0.99;404.00;28.00;68.57;404.00;2449.00;180.90;2853.00;177.70;404.00;461.12;68.57;1.37;28.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.5;2511.00;DEFAULT_PEDTYPE;0.87;343.00;0.00;33.31;343.00;2511.00;177.70;2854.00;0.10;343.00;373.31;33.31;1.21;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.4;2500.00;DEFAULT_PEDTYPE;0.83;361.00;0.00;35.44;361.00;2500.00;177.70;2861.00;0.10;361.00;373.31;35.44;1.15;0.00
pf_PedEnd.Minor.460.N_end.E_sidewalk__Node.Main.740.N__seg1__0.0;2519.00;DEFAULT_PEDTYPE;1.25;346.00;49.00;79.47;346.00;2519.00;0.10;2865.00;112.00;346.00;462.73;79.47;1.74;49.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.4;2557.00;DEFAULT_PEDTYPE;1.05;310.00;0.00;55.50;310.00;2557.00;0.10;2867.00;112.00;310.00;372.92;55.50;1.47;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__PedEnd.Minor.460.N_end.W_sidewalk__seg1__0.0;2435.00;DEFAULT_PEDTYPE;1.14;436.00;82.00;124.35;436.00;2435.00;177.70;2871.00;177.70;436.00;495.09;124.35;1.59;82.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.5;2562.00;DEFAULT_PEDTYPE;0.98;312.00;0.00;36.78;312.00;2562.00;0.10;2874.00;112.00;312.00;372.92;36.78;1.35;0.00
