id;depart;type;speedFactor;duration;waitingTime;timeLoss;traveltime;walk_depart;departPos;arrival;arrivalPos;walk_duration;routeLength;walk_timeLoss;maxSpeed;walk_waitingTime
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.7;2662.00;DEFAULT_PEDTYPE;1.14;263.00;0.00;27.85;263.00;2662.00;177.70;2925.00;0.10;263.00;373.31;27.85;1.59;0.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.280.N_end.E_sidewalk__seg1__0.0;2410.00;DEFAULT_PEDTYPE;1.14;516.00;52.00;100.17;516.00;2410.00;112.00;2926.00;0.10;516.00;660.71;100.17;1.59;52.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.8;2619.00;DEFAULT_PEDTYPE;1.02;310.00;0.00;32.83;310.00;2619.00;0.10;2929.00;0.10;310.00;391.66;32.83;1.41;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.2;2472.00;DEFAULT_PEDTYPE;0.85;458.00;84.00;125.50;458.00;2472.00;0.10;2930.00;0.10;458.00;391.66;125.50;1.18;84.00
pf_PedEnd.Minor.400.N_end.E_sidewalk__Node.Main.0.N__seg1__0.0;2407.00;DEFAULT_PEDTYPE;0.99;524.00;0.00;86.69;524.00;2407.00;0.10;2931.00;0.10;524.00;603.24;86.69;1.38;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.3;2565.00;DEFAULT_PEDTYPE;0.81;367.00;0.00;36.09;367.00;2565.00;112.00;2932.00;0.10;367.00;372.92;36.09;1.13;0.00
pf_PedEnd.Minor.280.N_end.E_sidewalk__PedEnd.Minor.400.N_end.W_sidewalk__seg1__0.0;2472.00;DEFAULT_PEDTYPE;0.84;464.00;0.00;47.99;464.00;2472.00;0.10;2936.00;180.90;464.00;484.07;47.99;1.16;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.8;2615.00;DEFAULT_PEDTYPE;0.97;321.00;0.00;31.00;321.00;2615.00;0.10;2936.00;0.10;321.00;391.66;31.00;1.35;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__PedEnd.Minor.460.S_end.E_sidewalk__seg1__0.0;2530.00;DEFAULT_PEDTYPE;1.07;407.00;55.00;101.84;407.00;2530.00;177.70;2937.00;180.90;407.00;451.72;101.84;1.48;55.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__PedEnd.Minor.340.N_end.E_sidewalk__seg1__0.0;2502.00;DEFAULT_PEDTYPE;0.94;436.00;1.00;46.88;436.00;2502.00;0.10;2938.00;0.10;436.00;505.86;46.88;1.30;1.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.8;2594.00;DEFAULT_PEDTYPE;0.87;345.00;0.00;35.06;345.00;2594.00;177.70;2939.00;0.10;345.00;373.31;35.06;1.20;0.00
pf_PedEnd.Minor.460.N_end.W_sidewalk__PedEnd.Minor.540.N_end.W_sidewalk__seg1__0.0;2559.00;DEFAULT_PEDTYPE;0.92;383.00;0.00;38.45;383.00;2559.00;177.70;2942.00;177.70;383.00;438.82;38.45;1.27;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__PedEnd.Minor.400.N_end.E_sidewalk__seg1__0.0;2448.00;DEFAULT_PEDTYPE;0.94;496.00;0.00;60.08;496.00;2448.00;0.10;2944.00;0.10;496.00;569.90;60.08;1.31;0.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.280.N_end.W_sidewalk__seg1__0.0;2515.00;DEFAULT_PEDTYPE;1.01;430.00;58.00;97.25;430.00;2515.00;0.10;2945.00;180.90;430.00;466.32;97.25;1.40;58.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__PedEnd.Minor.400.S_end.E_sidewalk__seg1__0.0;2497.00;DEFAULT_PEDTYPE;0.89;450.00;0.00;46.01;450.00;2497.00;0.10;2947.00;180.90;450.00;497.02;46.01;1.23;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.460.S_end.E_sidewalk__seg1__0.0;2591.00;DEFAULT_PEDTYPE;1.04;359.00;0.00;34.92;359.00;2591.00;0.10;2950.00;180.90;359.00;466.32;34.92;1.44;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__seg1__0.3;2674.00;DEFAULT_PEDTYPE;1.09;279.00;0.00;33.43;279.00;2674.00;0.10;2953.00;177.70;279.00;373.31;33.43;1.52;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.460.S_end.W_sidewalk__seg1__0.1;2566.00;DEFAULT_PEDTYPE;1.01;387.00;10.00;48.38;387.00;2566.00;0.10;2953.00;0.10;387.00;475.16;48.38;1.40;10.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.12;2636.00;DEFAULT_PEDTYPE;0.93;321.00;0.00;31.57;321.00;2636.00;0.10;2957.00;112.00;321.00;372.92;31.57;1.29;0.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__PedEnd.Minor.400.N_end.W_sidewalk__seg1__0.0;2424.00;DEFAULT_PEDTYPE;1.09;535.00;102.00;146.05;535.00;2424.00;177.70;2959.00;180.90;535.00;589.20;146.05;1.51;102.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.1;2551.00;DEFAULT_PEDTYPE;1.04;410.00;102.00;131.46;410.00;2551.00;0.10;2961.00;0.10;410.00;401.06;131.46;1.44;102.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.14;2663.00;DEFAULT_PEDTYPE;1.01;299.00;0.00;31.74;299.00;2663.00;177.70;2962.00;0.10;299.00;373.31;31.74;1.40;0.00
pf_PedEnd.Minor.340.N_end.W_sidewalk__PedEnd.Minor.400.N_end.E_sidewalk__seg1__0.0;2497.00;DEFAULT_PEDTYPE;0.75;465.00;0.00;47.01;465.00;2497.00;180.90;2962.00;0.10;465.00;437.90;47.01;1.05;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.N_end.W_sidewalk__seg1__0.0;2610.00;DEFAULT_PEDTYPE;1.10;354.00;56.00;91.56;354.00;2610.00;112.00;2964.00;177.70;354.00;401.06;91.56;1.53;56.00
pf_PedEnd.Minor.460.S_end.E_sidewalk__PedEnd.Minor.400.N_end.E_sidewalk__seg1__0.0;2475.00;DEFAULT_PEDTYPE;0.96;489.00;0.00;50.43;489.00;2475.00;180.90;2964.00;0.10;489.00;582.69;50.43;1.33;0.00
pf_PedEnd.Minor.340.N_end.W_sidewalk__PedEnd.Minor.280.N_end.E_sidewalk__seg1__0.0;2681.00;DEFAULT_PEDTYPE;1.19;284.00;0.00;29.61;284.00;2681.00;180.90;2965.00;0.10;284.00;420.03;29.61;1.65;0.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__PedEnd.Minor.400.S_end.W_sidewalk__seg1__0.0;2436.00;DEFAULT_PEDTYPE;0.97;529.00;86.00;134.14;529.00;2436.00;177.70;2965.00;0.10;529.00;534.00;134.14;1.35;86.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__PedEnd.Minor.460.N_end.E_sidewalk__seg1__0.0;2404.00;DEFAULT_PEDTYPE;1.03;563.00;16.00;74.61;563.00;2404.00;0.10;2967.00;0.10;563.00;699.29;74.61;1.43;16.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.11;2620.00;DEFAULT_PEDTYPE;0.86;348.00;0.00;34.22;348.00;2620.00;0.10;2968.00;112.00;348.00;372.92;34.22;1.19;0.00
pf_PedEnd.Minor.280.N_end.E_sidewalk__PedEnd.Minor.200.S_end.E_sidewalk__seg1__0.0;2484.00;DEFAULT_PEDTYPE;1.01;484.00;108.00;147.62;484.00;2484.00;0.10;2968.00;177.70;484.00;469.96;147.62;1.40;108.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.8;2672.00;DEFAULT_PEDTYPE;1.00;297.00;0.00;29.32;297.00;2672.00;177.70;2969.00;0.10;297.00;373.31;29.32;1.39;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.0;2620.00;DEFAULT_PEDTYPE;1.05;351.00;41.00;72.00;351.00;2620.00;177.70;2971.00;0.10;351.00;405.87;72.00;1.45;41.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.2;2680.00;DEFAULT_PEDTYPE;1.15;292.00;0.00;41.06;292.00;2680.00;0.10;2972.00;0.10;292.00;401.06;41.06;1.60;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.460.S_end.W_sidewalk__seg1__0.0;2488.00;DEFAULT_PEDTYPE;1.09;490.00;2.00;53.65;490.00;2488.00;112.00;2978.00;0.10;490.00;660.71;53.65;1.51;2.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.N_end.W_sidewalk__seg1__0.5;2705.00;DEFAULT_PEDTYPE;1.09;276.00;0.00;29.16;276.00;2705.00;0.10;2981.00;177.70;276.00;373.31;29.16;1.51;0.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.N_end.W_sidewalk__seg1__0.4;2627.00;DEFAULT_PEDTYPE;0.84;357.00;0.00;37.02;357.00;2627.00;0.10;2984.00;177.70;357.00;373.31;37.02;1.17;0.00
pf_PedEnd.Minor.280.S_end.W_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.0;2682.00;DEFAULT_PEDTYPE;1.25;306.00;10.00;48.35;306.00;2682.00;0.10;2988.00;0.10;306.00;448.13;48.35;1.74;10.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.7;2663.00;DEFAULT_PEDTYPE;0.92;326.00;0.00;33.55;326.00;2663.00;0.10;2989.00;112.00;326.00;372.92;33.55;1.28;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.8;2702.00;DEFAULT_PEDTYPE;1.06;287.00;0.00;34.46;287.00;2702.00;0.10;2989.00;112.00;287.00;372.92;34.46;1.48;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.17;2725.00;DEFAULT_PEDTYPE;1.13;264.00;0.00;26.62;264.00;2725.00;177.70;2989.00;0.10;264.00;373.31;26.62;1.57;0.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.N_end.W_sidewalk__seg1__0.0;2695.00;DEFAULT_PEDTYPE;1.15;304.00;27.00;58.11;304.00;2695.00;112.00;2999.00;177.70;304.00;391.66;58.11;1.59;27.00
pf_PedEnd.Minor.340.N_end.W_sidewalk__PedEnd.Minor.540.N_end.E_sidewalk__seg1__0.0;2502.00;DEFAULT_PEDTYPE;1.12;498.00;72.00;116.43;498.00;2502.00;180.90;3000.00;0.10;498.00;591.11;116.43;1.55;72.00
pf_PedEnd.Minor.460.S_end.W_sidewalk__PedEnd.Minor.400.S_end.W_sidewalk__seg1__0.1;2711.00;DEFAULT_PEDTYPE;1.20;291.00;0.00;32.97;291.00;2711.00;0.10;3002.00;0.10;291.00;428.86;32.97;1.66;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__Node.Main.740.N__seg1__0.13;2703.00;DEFAULT_PEDTYPE;0.99;301.00;0.00;30.33;301.00;2703.00;0.10;3004.00;112.00;301.00;372.92;30.33;1.38;0.00
pf_PedEnd.Minor.340.S_end.W_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__seg1__0.0;2502.00;DEFAULT_PEDTYPE;1.08;507.00;70.00;114.57;507.00;2502.00;0.10;3009.00;177.70;507.00;588.64;114.57;1.50;70.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.16;2708.00;DEFAULT_PEDTYPE;1.04;302.00;0.00;43.28;302.00;2708.00;177.70;3010.00;0.10;302.00;373.31;43.28;1.44;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.9;2717.00;DEFAULT_PEDTYPE;1.01;294.00;0.00;28.60;294.00;2717.00;0.10;3011.00;112.00;294.00;372.92;28.60;1.41;0.00
pf_PedEnd.Minor.280.S_end.E_sidewalk__Node.Main.0.S__seg1__0.0;2628.00;DEFAULT_PEDTYPE;1.12;383.00;42.00;78.99;383.00;2628.00;177.70;3011.00;112.00;383.00;471.77;78.99;1.55;42.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__PedEnd.Minor.280.S_end.W_sidewalk__seg1__0.0;2564.00;DEFAULT_PEDTYPE;0.80;448.00;0.00;46.54;448.00;2564.00;0.10;3012.00;0.10;448.00;448.13;46.54;1.12;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__PedEnd.Minor.280.S_end.W_sidewalk__seg1__0.0;2415.00;DEFAULT_PEDTYPE;0.94;597.00;31.00;99.76;597.00;2415.00;177.70;3012.00;0.10;597.00;652.14;99.76;1.31;31.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__PedEnd.Minor.400.S_end.E_sidewalk__seg1__0.0;2493.00;DEFAULT_PEDTYPE;0.98;520.00;24.00;78.27;520.00;2493.00;0.10;3013.00;180.90;520.00;600.51;78.27;1.36;24.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__seg1__0.4;2666.00;DEFAULT_PEDTYPE;1.08;348.00;59.00;87.93;348.00;2666.00;177.70;3014.00;112.00;348.00;391.66;87.93;1.51;59.00
pf_PedEnd.Minor.400.N_end.E_sidewalk__Node.Main.740.S__seg1__0.0;2406.00;DEFAULT_PEDTYPE;0.82;608.00;67.00;124.19;608.00;2406.00;0.10;3014.00;0.10;608.00;551.15;124.19;1.14;67.00
pf_PedEnd.Minor.460.S_end.W_sidewalk__Node.Main.740.S__seg1__0.1;2578.00;DEFAULT_PEDTYPE;1.14;436.00;96.00;137.16;436.00;2578.00;0.10;3014.00;0.10;436.00;475.16;137.16;1.59;96.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__seg1__0.0;2444.00;DEFAULT_PEDTYPE;1.04;572.00;9.00;69.43;572.00;2444.00;177.70;3016.00;177.70;572.00;723.50;69.43;1.44;9.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.10;2662.00;DEFAULT_PEDTYPE;1.08;354.00;63.00;94.07;354.00;2662.00;0.10;3016.00;0.10;354.00;391.66;94.07;1.51;63.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__seg1__0.10;2753.00;DEFAULT_PEDTYPE;1.13;267.00;0.00;30.31;267.00;2753.00;0.10;3020.00;112.00;267.00;372.92;30.31;1.58;0.00
pf_PedEnd.Minor.340.S_end.E_sidewalk__Node.Main.0.S__seg1__0.0;2597.00;DEFAULT_PEDTYPE;1.05;423.00;9.00;52.91;423.00;2597.00;180.90;3020.00;112.00;423.00;541.67;52.91;1.46;9.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.11;2671.00;DEFAULT_PEDTYPE;1.05;350.00;50.00;82.56;350.00;2671.00;0.10;3021.00;0.10;350.00;391.66;82.56;1.46;50.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__PedEnd.Minor.340.S_end.E_sidewalk__seg1__0.0;2492.00;DEFAULT_PEDTYPE;0.93;530.00;23.00;75.31;530.00;2492.00;177.70;3022.00;180.90;530.00;589.20;75.31;1.30;23.00
pf_PedEnd.Minor.400.S_end.W_sidewalk__PedEnd.Minor.460.N_end.E_sidewalk__seg1__0.0;2472.00;DEFAULT_PEDTYPE;1.00;550.00;79.00;126.71;550.00;2472.00;0.10;3022.00;0.10;550.00;585.67;126.71;1.38;79.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.200.S_end.E_sidewalk__seg1__0.0;2417.00;DEFAULT_PEDTYPE;1.03;606.00;32.00;91.70;606.00;2417.00;0.10;3023.00;177.70;606.00;738.10;91.70;1.44;32.00
pf_PedEnd.Minor.400.S_end.E_sidewalk__Node.Main.740.N__seg1__0.0;2561.00;DEFAULT_PEDTYPE;1.03;463.00;23.00;73.06;463.00;2561.00;180.90;3024.00;112.00;463.00;558.10;73.06;1.43;23.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__PedEnd.Minor.340.N_end.W_sidewalk__seg1__0.0;2478.00;DEFAULT_PEDTYPE;0.91;546.00;93.00;138.60;546.00;2478.00;177.70;3024.00;180.90;546.00;515.76;138.60;1.27;93.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__PedEnd.Minor.200.S_end.E_sidewalk__seg1__0.0;2525.00;DEFAULT_PEDTYPE;1.18;499.00;0.00;68.28;499.00;2525.00;0.10;3024.00;177.70;499.00;704.76;68.28;1.64;0.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__seg1__0.0;2429.00;DEFAULT_PEDTYPE;1.06;595.00;34.00;92.15;595.00;2429.00;0.10;3024.00;177.70;595.00;741.85;92.15;1.48;34.00
pf_PedEnd.Minor.280.S_end.E_sidewalk__PedEnd.Minor.400.N_end.E_sidewalk__seg1__0.0;2414.00;DEFAULT_PEDTYPE;0.94;610.00;49.00;107.68;610.00;2414.00;177.70;3024.00;0.10;610.00;658.74;107.68;1.31;49.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__seg1__0.5;2713.00;DEFAULT_PEDTYPE;1.02;312.00;3.00;36.21;312.00;2713.00;177.70;3025.00;112.00;312.00;391.66;36.21;1.42;3.00
pf_PedEnd.Minor.280.S_end.W_sidewalk__Node.Main.0.S__seg1__0.0;2655.00;DEFAULT_PEDTYPE;1.03;370.00;7.00;45.47;370.00;2655.00;0.10;3025.00;112.00;370.00;462.73;45.47;1.43;7.00
pf_PedEnd.Minor.400.S_end.W_sidewalk__Node.Main.0.S__seg1__0.1;2580.00;DEFAULT_PEDTYPE;1.10;446.00;2.00;56.05;446.00;2580.00;0.10;3026.00;112.00;446.00;596.67;56.05;1.53;2.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.200.S_end.W_sidewalk__seg1__0.5;2727.00;DEFAULT_PEDTYPE;0.99;300.00;0.00;29.28;300.00;2727.00;112.00;3027.00;0.10;300.00;372.92;29.28;1.38;0.00
pf_PedEnd.Minor.280.S_end.E_sidewalk__Node.Main.740.S__seg1__0.0;2516.00;DEFAULT_PEDTYPE;1.05;512.00;2.00;61.62;512.00;2516.00;177.70;3028.00;0.10;512.00;657.80;61.62;1.46;2.00
pf_PedEnd.Minor.400.N_end.E_sidewalk__Node.Main.740.N__seg1__0.0;2615.00;DEFAULT_PEDTYPE;1.03;414.00;0.00;42.22;414.00;2615.00;0.10;3029.00;112.00;414.00;532.63;42.22;1.43;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.12;2616.00;DEFAULT_PEDTYPE;0.72;413.00;0.00;41.40;413.00;2616.00;177.70;3029.00;0.10;413.00;373.31;41.40;1.00;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__PedEnd.Minor.340.N_end.E_sidewalk__seg1__0.1;2653.00;DEFAULT_PEDTYPE;1.08;376.00;0.00;40.04;376.00;2653.00;0.10;3029.00;0.10;376.00;505.86;40.04;1.51;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__PedEnd.Minor.340.N_end.E_sidewalk__seg1__0.0;2551.00;DEFAULT_PEDTYPE;0.91;480.00;19.00;66.61;480.00;2551.00;177.70;3031.00;0.10;480.00;524.60;66.61;1.27;19.00
pf_PedEnd.Minor.460.S_end.W_sidewalk__Node.Main.0.S__seg1__0.0;2448.00;DEFAULT_PEDTYPE;0.97;584.00;36.00;92.26;584.00;2448.00;0.10;3032.00;112.00;584.00;660.71;92.26;1.34;36.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__PedEnd.Minor.280.S_end.E_sidewalk__seg1__0.0;2507.00;DEFAULT_PEDTYPE;0.97;526.00;0.00;62.86;526.00;2507.00;0.10;3033.00;177.70;526.00;624.46;62.86;1.35;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.9;2639.00;DEFAULT_PEDTYPE;0.98;394.00;74.00;107.57;394.00;2639.00;0.10;3033.00;0.10;394.00;391.66;107.57;1.37;74.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__seg1__0.1;2662.00;DEFAULT_PEDTYPE;0.91;371.00;25.00;60.02;371.00;2662.00;0.10;3033.00;0.10;371.00;391.66;60.02;1.26;25.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.12;2678.00;DEFAULT_PEDTYPE;0.98;356.00;33.00;66.98;356.00;2678.00;0.10;3034.00;0.10;356.00;391.66;66.98;1.36;33.00
pf_PedEnd.Minor.460.S_end.W_sidewalk__Node.Main.740.S__seg1__0.2;2661.00;DEFAULT_PEDTYPE;1.05;373.00;0.00;46.59;373.00;2661.00;0.10;3034.00;0.10;373.00;475.16;46.59;1.46;0.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.13;2711.00;DEFAULT_PEDTYPE;1.11;324.00;21.00;71.00;324.00;2711.00;0.10;3035.00;0.10;324.00;391.66;71.00;1.55;21.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.9;2636.00;DEFAULT_PEDTYPE;0.95;399.00;71.00;103.56;399.00;2636.00;0.10;3035.00;0.10;399.00;391.66;103.56;1.33;71.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.10;2670.00;DEFAULT_PEDTYPE;0.98;366.00;40.00;77.10;366.00;2670.00;0.10;3036.00;0.10;366.00;391.66;77.10;1.36;40.00
pf_PedEnd.Minor.200.N_end.E_sidewalk__Node.Main.0.N__seg1__0.7;2616.00;DEFAULT_PEDTYPE;0.95;422.00;64.00;124.91;422.00;2616.00;0.10;3038.00;0.10;422.00;391.66;124.91;1.32;64.00
pf_PedEnd.Minor.280.N_end.E_sidewalk__Node.Main.0.N__seg1__0.1;2575.00;DEFAULT_PEDTYPE;0.99;463.00;71.00;118.06;463.00;2575.00;0.10;3038.00;0.10;463.00;475.16;118.06;1.38;71.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__Node.Main.740.S__seg1__0.11;2717.00;DEFAULT_PEDTYPE;0.97;323.00;0.00;32.58;323.00;2717.00;0.10;3040.00;0.10;323.00;391.66;32.58;1.35;0.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__Node.Main.0.S__seg1__0.4;2696.00;DEFAULT_PEDTYPE;0.93;347.00;8.00;43.42;347.00;2696.00;177.70;3043.00;112.00;347.00;391.66;43.42;1.29;8.00
pf_PedEnd.Minor.280.N_end.W_sidewalk__Node.Main.0.N__seg1__0.1;2608.00;DEFAULT_PEDTYPE;0.93;436.00;31.00;74.90;436.00;2608.00;180.90;3044.00;0.10;436.00;466.32;74.90;1.29;31.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.15;2705.00;DEFAULT_PEDTYPE;0.88;340.00;0.00;35.50;340.00;2705.00;177.70;3045.00;0.10;340.00;373.31;35.50;1.23;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.280.S_end.W_sidewalk__seg1__0.0;2684.00;DEFAULT_PEDTYPE;1.14;362.00;34.00;70.18;362.00;2684.00;112.00;3046.00;0.10;362.00;462.73;70.18;1.59;34.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__PedEnd.Minor.400.N_end.W_sidewalk__seg1__0.1;2672.00;DEFAULT_PEDTYPE;1.32;379.00;19.00;57.79;379.00;2672.00;177.70;3051.00;180.90;379.00;589.20;57.79;1.83;19.00
pf_PedEnd.Minor.400.S_end.E_sidewalk__Node.Main.740.S__seg1__0.0;2646.00;DEFAULT_PEDTYPE;1.05;406.00;1.00;41.00;406.00;2646.00;180.90;3052.00;0.10;406.00;530.36;41.00;1.45;1.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.N_end.E_sidewalk__seg1__0.0;2756.00;DEFAULT_PEDTYPE;1.01;297.00;0.00;30.15;297.00;2756.00;112.00;3053.00;0.10;297.00;372.92;30.15;1.40;0.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.N_end.E_sidewalk__seg1__0.1;2774.00;DEFAULT_PEDTYPE;1.09;279.00;0.00;31.65;279.00;2774.00;112.00;3053.00;0.10;279.00;372.92;31.65;1.51;0.00
pf_PedEnd.Main.W_end.S_sidewalk__PedEnd.Minor.340.S_end.W_sidewalk__seg1__0.0;2590.00;DEFAULT_PEDTYPE;0.93;463.00;1.00;49.66;463.00;2590.00;112.00;3053.00;0.10;463.00;532.63;49.66;1.29;1.00
pf_PedEnd.Minor.200.S_end.E_sidewalk__Node.Main.0.S__seg1__0.5;2723.00;DEFAULT_PEDTYPE;0.93;335.00;0.00;33.08;335.00;2723.00;177.70;3058.00;112.00;335.00;391.66;33.08;1.30;0.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__PedEnd.Minor.400.N_end.W_sidewalk__seg1__0.0;2644.00;DEFAULT_PEDTYPE;0.98;414.00;0.00;40.29;414.00;2644.00;177.70;3058.00;180.90;414.00;508.72;40.29;1.36;0.00
pf_PedEnd.Minor.200.N_end.W_sidewalk__Node.Main.0.N__seg1__0.9;2747.00;DEFAULT_PEDTYPE;0.95;314.00;0.00;30.60;314.00;2747.00;177.70;3061.00;0.10;314.00;373.31;30.60;1.32;0.00
pf_PedEnd.Minor.280.S_end.W_sidewalk__PedEnd.Minor.400.S_end.W_sidewalk__seg1__0.0;2674.00;DEFAULT_PEDTYPE;1.02;387.00;1.00;38.29;387.00;2674.00;0.10;3061.00;0.10;387.00;492.36;38.29;1.41;1.00
pf_PedEnd.Minor.460.N_end.E_sidewalk__PedEnd.Minor.400.N_end.E_sidewalk__seg1__0.0;2741.00;DEFAULT_PEDTYPE;1.07;322.00;0.00;33.11;322.00;2741.00;0.10;3063.00;0.10;322.00;428.32;33.11;1.48;0.00
pf_PedEnd.Minor.400.S_end.W_sidewalk__PedEnd.Minor.280.S_end.E_sidewalk__seg1__0.0;2722.00;DEFAULT_PEDTYPE;1.16;342.00;0.00;43.03;342.00;2722.00;0.10;3064.00;177.70;342.00;483.42;43.03;1.62;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__seg1__0.18;2773.00;DEFAULT_PEDTYPE;1.02;293.00;0.00;30.37;293.00;2773.00;177.70;3066.00;0.10;293.00;373.31;30.37;1.42;0.00
pf_PedEnd.Minor.540.S_end.W_sidewalk__PedEnd.Minor.460.S_end.W_sidewalk__seg1__0.1;2723.00;DEFAULT_PEDTYPE;1.06;343.00;0.00;41.76;343.00;2723.00;0.10;3066.00;0.10;343.00;441.82;41.76;1.47;0.00
pf_PedEnd.Minor.540.N_end.E_sidewalk__PedEnd.Minor.200.N_end.E_sidewalk__seg1__0.1;2593.00;DEFAULT_PEDTYPE;1.28;477.00;20.00;69.77;477.00;2593.00;0.10;3070.00;0.10;477.00;723.11;69.77;1.78;20.00
