id;depart;departLane;departPos;departSpeed;departDelay;arrival;arrivalLane;arrivalPos;arrivalSpeed;duration;routeLength;waitingTime;waitingCount;stopTime;timeLoss;rerouteNo;devices;vType;speedFactor;vaporized
vf_Node.Main.740.S__Node.Main.0.S__seg0__0.247;1458.00;Edge.Main.WB.740-620_1;5.10;16.44;0.32;1577.00;Edge.Main.WB.120-0_1;112.00;16.10;119.00;735.89;60.00;1;0.00;73.81;1;tripinfo_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.247 routing_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.247 fcd_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.247;DEFAULT_VEHTYPE;0.99;
vf_Node.Main.740.S__Node.Main.0.S__seg0__0.248;1460.00;Edge.Main.WB.740-620_2;5.10;16.57;0.89;1577.00;Edge.Main.WB.120-0_3;112.00;15.79;117.00;735.89;62.00;1;0.00;71.85;1;tripinfo_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.248 routing_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.248 fcd_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.248;DEFAULT_VEHTYPE;0.99;
vf_Node.Main.0.N__Node.Main.740.N__seg0__0.241;1465.00;Edge.Main.EB.0-120_2;5.10;16.40;0.97;1577.00;Edge.Main.EB.620-740_3;112.00;16.14;112.00;735.89;59.00;1;0.00;66.31;1;tripinfo_vf_Node.Main.0.N__Node.Main.740.N__seg0__0.241 routing_vf_Node.Main.0.N__Node.Main.740.N__seg0__0.241 fcd_vf_Node.Main.0.N__Node.Main.740.N__seg0__0.241;DEFAULT_VEHTYPE;0.98;
vf_Node.Minor.460.N_end__Node.Main.740.N__seg0__0.11;1411.00;Edge.Minor.N_arm.SB.460_1;5.10;14.43;0.33;1578.00;Edge.Main.EB.620-740_1;112.00;14.16;167.00;457.07;118.00;2;0.00;134.01;1;tripinfo_vf_Node.Minor.460.N_end__Node.Main.740.N__seg0__0.11 routing_vf_Node.Minor.460.N_end__Node.Main.740.N__seg0__0.11 fcd_vf_Node.Minor.460.N_end__Node.Main.740.N__seg0__0.11;DEFAULT_VEHTYPE;0.87;
vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.19;1485.00;Edge.Minor.S_arm.NB.460_1;5.10;17.58;0.36;1578.00;Edge.Main.WB.120-0_3;112.00;17.06;93.00;640.57;41.00;1;0.00;55.42;1;tripinfo_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.19 routing_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.19 fcd_vf_Node.Minor.460.S_end__Node.Main.0.S__seg0__0.19;DEFAULT_VEHTYPE;1.05;
vf_Node.Minor.200.N_end__Node.Main.740.N__seg0__0.26;1405.00;Edge.Minor.N_arm.SB.200_1;5.10;15.91;0.08;1579.00;Edge.Main.EB.620-740_3;112.00;15.55;174.00;713.62;111.00;2;0.00;127.60;1;tripinfo_vf_Node.Minor.200.N_end__Node.Main.740.N__seg0__0.26 routing_vf_Node.Minor.200.N_end__Node.Main.740.N__seg0__0.26 fcd_vf_Node.Minor.200.N_end__Node.Main.740.N__seg0__0.26;DEFAULT_VEHTYPE;0.95;
vf_Node.Main.740.S__Node.Main.0.S__seg0__0.244;1448.00;Edge.Main.WB.740-620_1;5.10;13.72;0.57;1579.00;Edge.Main.WB.120-0_2;112.00;13.33;131.00;735.89;69.00;1;0.00;76.87;1;tripinfo_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.244 routing_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.244 fcd_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.244;DEFAULT_VEHTYPE;0.82;
vf_Node.Minor.460.N_end__Node.Main.0.S__seg0__0.0;1405.00;Edge.Minor.N_arm.SB.460_1;5.10;16.88;0.81;1580.00;Edge.Main.WB.120-0_3;112.00;16.26;175.00;771.22;103.00;3;0.00;126.86;1;tripinfo_vf_Node.Minor.460.N_end__Node.Main.0.S__seg0__0.0 routing_vf_Node.Minor.460.N_end__Node.Main.0.S__seg0__0.0 fcd_vf_Node.Minor.460.N_end__Node.Main.0.S__seg0__0.0;DEFAULT_VEHTYPE;1.01;
vf_Node.Main.0.N__Node.Main.740.N__seg0__0.240;1462.00;Edge.Main.EB.0-120_1;5.10;14.56;0.51;1580.00;Edge.Main.EB.620-740_2;112.00;14.40;118.00;735.89;59.00;1;0.00;68.82;1;tripinfo_vf_Node.Main.0.N__Node.Main.740.N__seg0__0.240 routing_vf_Node.Main.0.N__Node.Main.740.N__seg0__0.240 fcd_vf_Node.Main.0.N__Node.Main.740.N__seg0__0.240;DEFAULT_VEHTYPE;0.91;
vf_Node.Main.740.S__Node.Main.0.S__seg0__0.250;1466.00;Edge.Main.WB.740-620_1;5.10;15.48;0.38;1580.00;Edge.Main.WB.120-0_1;112.00;14.47;114.00;735.89;56.00;1;0.00;65.61;1;tripinfo_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.250 routing_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.250 fcd_vf_Node.Main.740.S__Node.Main.0.S__seg0__0.250;DEFAULT_VEHTYPE;0.93;
