time;loaded;inserted;running;waiting;ended;arrived;collisions;teleports;halting;stopped;meanWaitingTime;meanTravelTime;meanSpeed;meanSpeedRelative;discarded;duration
462.00;750;750;183;0;567;567;0;0;118;0;1.04;77.63;3.46;0.21;0;2
463.00;753;753;185;0;568;568;0;0;121;0;1.04;77.68;3.38;0.20;0;2
464.00;757;756;188;1;568;568;0;0;125;0;1.04;77.68;3.39;0.20;0;2
465.00;757;757;187;0;570;570;0;0;127;0;1.04;77.88;3.07;0.18;0;2
466.00;758;758;185;0;573;573;0;0;127;0;1.04;78.11;2.74;0.16;0;2
467.00;759;759;186;0;573;573;0;0;132;0;1.04;78.11;2.75;0.16;0;2
468.00;762;762;187;0;575;575;0;0;125;0;1.04;78.27;2.94;0.18;0;3
469.00;764;764;188;0;576;576;0;0;116;0;1.04;78.29;3.14;0.19;0;3
470.00;765;765;189;0;576;576;0;0;114;0;1.04;78.29;3.38;0.20;0;3
471.00;768;768;191;0;577;577;0;0;104;0;1.04;78.25;3.51;0.21;0;3
472.00;772;772;193;0;579;579;0;0;98;0;1.04;78.18;3.75;0.22;0;2
473.00;773;773;193;0;580;580;0;0;94;0;1.04;78.16;3.86;0.23;0;2
474.00;775;775;194;0;581;581;0;0;91;0;1.04;78.23;4.12;0.25;0;3
475.00;776;776;193;0;583;583;0;0;84;0;1.04;78.23;4.33;0.26;0;2
476.00;776;776;193;0;583;583;0;0;81;0;1.04;78.23;4.55;0.27;0;2
477.00;778;778;194;0;584;584;0;0;78;0;1.04;78.20;4.90;0.29;0;2
478.00;778;778;194;0;584;584;0;0;73;0;1.04;78.20;5.10;0.31;0;2
479.00;779;779;193;0;586;586;0;0;75;0;1.04;78.39;5.21;0.31;0;2
480.00;780;780;193;0;587;587;0;0;74;0;1.04;78.40;5.36;0.32;0;2
481.00;783;781;194;2;587;587;0;0;73;0;1.04;78.40;5.65;0.34;0;2
482.00;783;783;196;0;587;587;0;0;75;0;1.04;78.40;5.92;0.35;0;2
