id;depart;type;speedFactor;duration;waitingTime;timeLoss;traveltime;walk_depart;departPos;arrival;arrivalPos;walk_duration;routeLength;walk_timeLoss;maxSpeed;walk_waitingTime
pf_PedEnd.Minor.340.N_end.E_sidewalk__PedEnd.Minor.280.N_end.E_sidewalk__0.0;98.00;DEFAULT_PEDTYPE;1.10;313.00;0.00;31.03;313.00;98.00;0.10;411.00;0.10;313.00;428.86;31.03;1.52;0.00
pf_PedEnd.Main.W_end.N_sidewalk__PedEnd.Minor.200.S_end.E_sidewalk__0.0;20.00;DEFAULT_PEDTYPE;1.02;395.00;57.00;93.38;395.00;20.00;0.10;415.00;177.70;395.00;429.39;93.38;1.42;57.00
pf_PedEnd.Minor.460.N_end.E_sidewalk__PedEnd.Minor.540.S_end.E_sidewalk__0.0;9.00;DEFAULT_PEDTYPE;0.99;407.00;16.00;55.38;407.00;9.00;0.10;416.00;177.70;407.00;485.87;55.38;1.38;16.00
pf_PedEnd.Minor.540.N_end.W_sidewalk__Node.Main.740.N__0.2;99.00;DEFAULT_PEDTYPE;1.10;325.00;28.00;69.39;325.00;99.00;177.70;424.00;112.00;325.00;391.66;69.39;1.53;28.00
pf_PedEnd.Main.E_end.N_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__0.0;16.00;DEFAULT_PEDTYPE;0.96;409.00;55.00;93.93;409.00;16.00;112.00;425.00;0.10;409.00;419.40;93.93;1.33;55.00
pf_PedEnd.Minor.460.S_end.E_sidewalk__PedEnd.Minor.400.S_end.W_sidewalk__0.0;98.00;DEFAULT_PEDTYPE;1.06;329.00;0.00;32.34;329.00;98.00;180.90;427.00;0.10;329.00;437.90;32.34;1.48;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.4;95.00;DEFAULT_PEDTYPE;0.89;334.00;0.00;32.37;334.00;95.00;177.70;429.00;0.10;334.00;373.31;32.37;1.24;0.00
pf_PedEnd.Minor.540.S_end.E_sidewalk__Node.Main.740.S__0.5;126.00;DEFAULT_PEDTYPE;1.02;304.00;0.00;40.90;304.00;126.00;177.70;430.00;0.10;304.00;373.31;40.90;1.42;0.00
pf_PedEnd.Main.E_end.S_sidewalk__PedEnd.Minor.540.S_end.W_sidewalk__0.0;21.00;DEFAULT_PEDTYPE;0.92;409.00;68.00;103.91;409.00;21.00;0.10;430.00;0.10;409.00;391.66;103.91;1.28;68.00
pf_PedEnd.Minor.200.S_end.W_sidewalk__Node.Main.0.S__0.5;143.00;DEFAULT_PEDTYPE;1.05;288.00;0.00;31.92;288.00;143.00;0.10;431.00;112.00;288.00;372.92;31.92;1.46;0.00
