id;depart;departLane;departPos;departSpeed;departDelay;arrival;arrivalLane;arrivalPos;arrivalSpeed;duration;routeLength;waitingTime;waitingCount;stopTime;timeLoss;rerouteNo;devices;vType;speedFactor;vaporized
vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.10;60.00;Edge.Minor.N_arm.SB.540_1;5.10;16.84;0.58;106.00;Edge.Minor.S_arm.SB.540_2;177.70;16.02;46.00;395.01;13.00;1;0.00;22.52;1;tripinfo_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.10 routing_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.10 fcd_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.10;DEFAULT_VEHTYPE;1.01;
vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.11;63.00;Edge.Minor.S_arm.NB.200_2;5.10;17.93;0.51;106.00;Edge.Minor.N_arm.NB.200_2;177.70;16.67;43.00;395.01;10.00;1;0.00;20.49;1;tripinfo_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.11 routing_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.11 fcd_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.11;DEFAULT_VEHTYPE;1.08;
vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.9;53.00;Edge.Minor.N_arm.SB.200_1;5.10;13.48;1.51;107.00;Edge.Minor.S_arm.SB.200_1;177.70;13.73;54.00;395.01;17.00;1;0.00;27.27;1;tripinfo_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.9 routing_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.9 fcd_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.9;DEFAULT_VEHTYPE;0.89;
vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.13;64.00;Edge.Minor.N_arm.SB.200_2;5.10;15.83;0.31;107.00;Edge.Minor.S_arm.SB.200_2;177.70;15.80;43.00;395.01;7.00;1;0.00;17.87;1;tripinfo_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.13 routing_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.13 fcd_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.13;DEFAULT_VEHTYPE;0.95;
vf_Node.Minor.540.N_end__Node.Main.740.N__0.2;47.00;Edge.Minor.N_arm.SB.540_1;5.10;15.72;0.55;108.00;Edge.Main.EB.620-740_1;112.00;15.17;61.00;373.13;23.00;1;0.00;35.85;1;tripinfo_vf_Node.Minor.540.N_end__Node.Main.740.N__0.2 routing_vf_Node.Minor.540.N_end__Node.Main.740.N__0.2 fcd_vf_Node.Minor.540.N_end__Node.Main.740.N__0.2;DEFAULT_VEHTYPE;0.94;
vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.11;65.00;Edge.Minor.N_arm.SB.540_2;5.10;18.23;0.13;108.00;Edge.Minor.S_arm.SB.540_2;177.70;17.38;43.00;395.01;10.00;1;0.00;20.78;1;tripinfo_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.11 routing_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.11 fcd_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.11;DEFAULT_VEHTYPE;1.09;
vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.12;81.00;Edge.Minor.S_arm.NB.200_2;5.10;17.21;0.42;108.00;Edge.Minor.N_arm.NB.200_2;177.70;16.26;27.00;395.01;0.00;0;0.00;3.21;1;tripinfo_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.12 routing_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.12 fcd_vf_Node.Minor.200.S_end__Node.Minor.200.N_end__0.12;DEFAULT_VEHTYPE;1.03;
vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.9;58.00;Edge.Minor.N_arm.SB.540_1;5.10;18.30;0.41;109.00;Edge.Minor.S_arm.SB.540_1;177.70;17.91;51.00;395.01;15.00;1;0.00;28.54;1;tripinfo_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.9 routing_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.9 fcd_vf_Node.Minor.540.N_end__Node.Minor.540.S_end__0.9;DEFAULT_VEHTYPE;1.10;
vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.11;59.00;Edge.Minor.N_arm.SB.200_1;5.10;14.84;0.95;109.00;Edge.Minor.S_arm.SB.200_1;177.70;14.60;50.00;395.01;12.00;1;0.00;23.13;1;tripinfo_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.11 routing_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.11 fcd_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.11;DEFAULT_VEHTYPE;0.89;
vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.14;78.00;Edge.Minor.N_arm.SB.200_2;5.10;17.16;0.75;109.00;Edge.Minor.S_arm.SB.200_2;177.70;16.78;31.00;395.01;0.00;0;0.00;7.53;1;tripinfo_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.14 routing_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.14 fcd_vf_Node.Minor.200.N_end__Node.Minor.200.S_end__0.14;DEFAULT_VEHTYPE;1.03;
